asin,brand,title,price,mrp,discount_pct,rating,review_count,size_tag,url
B07W5L2XV3,Nasher Miles,Nasher Miles Berlin Expander Soft-Sided Polyester Cabin Luggage 20 inch | 55cm | 8 Wheels Small Trolley Bag for Travel | Suitcase (Black),3999.0,13995.0,71.4,4.1,490,cabin,https://www.amazon.in/dp/B07W5L2XV3
B0FFBBFDRN,Safari,"Skybags Streax | Cabin Trolley Bag, 55 Cm, Small Hardside Luggage | 8 Wheels, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",1799.0,6000.0,70.0,4.1,396,cabin,https://www.amazon.in/dp/B0FFBBFDRN
B0FFBBZT6M,Safari,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Coral",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFBBZT6M
B0FFB9M337,Safari,"Skybags Streax | Check-in Trolley Bag, 76 Cm, Large Hardside Luggage | 8 Wheels Spinner, Combination Lock | Polypropylene | Suitcase for Travel | 5 Year International Warranty | Black",2699.0,9000.0,70.0,4.1,396,large,https://www.amazon.in/dp/B0FFB9M337
B0G1K2SVV4,Safari,"Safari 8 Wheels, Anti-Theft Zipper (Check-in) Polycarbonate Trolley Spinner Luggage Large (Cooper 76CM Blue)",3600.0,4500.0,20.0,4.5,2,large,https://www.amazon.in/dp/B0G1K2SVV4
B097BG27MD,Safari,"Safari Pentagon Pro 8 Wheels 55Cm Cabin Trolley Bag Hard Case Polypropylene, 360º Wheeling Carry On Luggage for Men & Women, Travel Suitcase, Cyan",1869.0,8999.0,79.2,4.2,33925,cabin,https://www.amazon.in/dp/B097BG27MD
B0FLYGLKYQ,Safari,"Safari Genius Alley Set of 3 (Cabin + Medium + Large) Trolley Bags Hard Case Polypropylene, 4 Wheels, 360 Degree Wheeling Luggage, Suitcase for Travel, Trolley Bags for Travel, Flintstone",4199.0,27997.0,85.0,4.0,5612,cabin,https://www.amazon.in/dp/B0FLYGLKYQ
B0F9FMQZWN,Safari,"Safari Astra Neo 8 Wheels 56cm Cabin Size Trolley Bag, Hard Case Polycarbonate, 360 Degree Wheeling Carry-on Luggage for Men & Women, Travel Bag, Suitcase for Travel, Trolley Bag for Travel, Champagne",2099.0,8999.0,76.7,4.1,1580,cabin,https://www.amazon.in/dp/B0F9FMQZWN
B0FLYJQLQQ,Safari,"Safari Genius Alley 55cm Cabin Trolley Bag Hard Case Polypropylene, 4 Spinner Wheels, 360 Degree Wheeling Carry on Luggage, Travel Bag, Suitcase, Trolley Bags, Deep Forrest",1499.0,6999.0,78.6,4.0,5612,cabin,https://www.amazon.in/dp/B0FLYJQLQQ
B097JMXLT9,Safari,"Safari Medium Thorium Neo 8 Wheels 66 Cm Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",2699.0,9800.0,72.5,4.0,28126,medium,https://www.amazon.in/dp/B097JMXLT9
